File,statements,missing
utest/api/test_deco.py,0,0
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,0,2
utest/api/test_logging_api.py,0,0
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,0,0
utest/htmldata/test_htmltemplate.py,0,0
utest/htmldata/test_jsonwriter.py,-8,-22
utest/libdoc/test_datatypes.py,0,1
utest/libdoc/test_libdoc.py,0,0
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,0,0
utest/model/test_control.py,-10,-9
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,0,0
utest/model/test_message.py,-15,-9
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,-56,-35
utest/model/test_statistics.py,5,-1
utest/model/test_tags.py,167,106
utest/model/test_tagstatistics.py,6,3
utest/model/test_testcase.py,83,67
utest/model/test_testsuite.py,70,77
utest/output/test_console.py,0,0
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,10,-10
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,-1,0
utest/parsing/test_model.py,38,39
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,64,69
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,-64,-70
utest/reporting/test_jsbuildingcontext.py,0,0
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,24,24
utest/reporting/test_jswriter.py,0,1
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,1,2
utest/reporting/test_stringcache.py,0,0
utest/result/test_configurer.py,45,50
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,-9,-5
utest/result/test_resultmodel.py,-27,-93
utest/result/test_resultserializer.py,0,0
utest/result/test_visitor.py,0,0
utest/running/test_argumentspec.py,-5,-4
utest/running/test_builder.py,0,0
utest/running/test_importer.py,0,0
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,-23,-23
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,0,0
utest/running/test_run_model.py,-11,-92
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-55,-55
utest/running/test_timeouts.py,-35,-63
utest/running/test_typeinfo.py,79,58
utest/running/test_typeinfoparser.py,23,6
utest/running/test_userkeyword.py,-4,-17
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,0,0
utest/utils/test_argumentparser.py,-31,-44
utest/utils/test_asserts.py,-24,-23
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,0,0
utest/utils/test_connectioncache.py,98,82
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,-7,2
utest/utils/test_escaping.py,-63,-56
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,-7,-2
utest/utils/test_frange.py,-45,-51
utest/utils/test_htmlwriter.py,0,0
utest/utils/test_importer_util.py,-16,-39
utest/utils/test_markuputils.py,-29,-98
utest/utils/test_match.py,27,36
utest/utils/test_misc.py,-41,-71
utest/utils/test_normalizing.py,-31,-76
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,-1,1
utest/utils/test_robotpath.py,0,0
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,-69,-39
utest/utils/test_setter.py,0,0
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-48,-52
utest/utils/test_unic.py,-1,1
utest/utils/test_xmlwriter.py,95,78
utest/variables/test_isvar.py,-17,-4
utest/variables/test_search.py,0,0
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
