CLASS,LINE_COVERED,LINE_MISSED
UnsupportedMessageType,0,0
InvalidMessage,0,0
NMEAParseException,0,0
UTCAndDateResponse,0,0
GNSSBinaryBroadcastMessage,0,0
CachedDecodedValues,1,-1
PositionReportClassAScheduled,3,-3
SafetyRelatedAcknowledge,0,0
GroupAssignmentCommand,0,0
UTCAndDateInquiry,0,0
AddressedSafetyRelatedMessage,0,0
AddressedBinaryMessage,14,-14
SafetyRelatedBroadcastMessage,0,0
PositionReportClassAAssignedSchedule,3,-3
AidToNavigationReport,22,-22
PositionReportClassAResponseToInterrogation,3,-3
PositionReport,13,-13
BinaryMessageMultipleSlot,0,0
DataLinkManagement,23,-23
ChannelManagement,0,0
AISMessage,4,-4
StandardClassBCSPositionReport,21,-21
ShipAndVoyageData,16,-16
ClassBCSStaticDataReport,13,-13
Interrogation,11,-11
LongRangeBroadcastMessage,14,-14
BaseStationReport,15,-15
ExtendedClassBEquipmentPositionReport,0,0
BinaryMessageSingleSlot,0,0
StandardSARAircraftPositionReport,0,0
Error,0,0
Metadata,1,-1
BinaryBroadcastMessage,8,-8
AssignedModeCommand,0,0
BinaryAcknowledge,0,0
NMEAMessage,0,0
UnsupportedMessageType,0,0
InvalidAISMessage,0,0
AISInputStreamReader,0,0
Decoders,0,0
Decoders.new Function() {...},0,0
SimpleDemoApp,0,0
SocketDemoApp,0,0
NMEAMessageInputStreamReader,0,0
NMEAMessageHandler,0,0
NMEAMessageSocketClient,0,0
ManeuverIndicator,0,0
ReportingInterval,0,0
AISMessageType,0,0
TransponderClass,0,0
ShipType,0,0
StationType,0,0
SOTDMACommunicationState,0,0
AidType,0,0
TxRxMode,0,0
PositionFixingDevice,0,0
ITDMACommunicationState,0,0
CommunicationState,0,0
SyncState,0,0
NavigationStatus,0,0
MMSI,1,-1
IMO,1,-1
ExtendedShipStaticAndVoyageRelatedData.IceClass,0,0
ExtendedShipStaticAndVoyageRelatedData.BallastStatus,0,0
BerthingData,0,0
ApplicationSpecificMessage,0,0
ExtendedShipStaticAndVoyageRelatedData.BunkerOilStatus,0,0
NumberOfPersonsOnBoard,0,0
UnknownApplicationSpecificMessage,0,0
BerthingData.MooringPosition,0,0
ExtendedShipStaticAndVoyageRelatedData,0,0
InlandShipStaticAndVoyageRelatedData,0,0
ExtendedShipStaticAndVoyageRelatedData.SolasEquipmentStatus,0,0
BerthingData.ServiceStatus,0,0
