CLASS,LINE_COVERED,LINE_MISSED
FileExample,0,0
PositionProviderExample,0,0
SentenceListenerExamples.MultiSentenceListener,0,0
HeadingProviderExample,0,0
TypedSentenceListenerExample,0,0
OutputExample,0,0
AISListenerExample,0,0
SentenceListenerExamples.SingleSentenceListener,0,0
SentenceListenerExamples,0,0
SerialPortExample,0,0
SentenceListenerExamples.GSAListener,0,0
SatelliteInfoProviderExample,0,0
TimeStamp,0,0
Sixbit,0,0
Latitude27,0,0
RateOfTurn,0,0
PositioningDevice,0,0
NavigationalStatus,0,0
AISRuleViolation,0,0
Angle9,0,0
NavAidType,0,0
SpeedOverGround,0,0
Longitude28,0,0
Angle12,0,0
BitVector,0,0
ManeuverIndicator,0,0
MMSI,0,0
ShipType,0,0
Checksum,0,0
SentenceId,1,-1
TalkerId,0,0
SentenceValidator,0,0
GNSSentence.Mode,0,0
AISMessage09Parser,0,0
AISMessage03Parser,0,0
AISUTCParser,0,0
AISMessage24Parser,0,0
AISMessage18Parser,0,0
AISMessage21Parser,0,0
AISMessageParser,0,0
AISMessage19Parser,0,0
AISPositionReportParser,0,0
AISMessageFactory,0,0
AISMessage01Parser,0,0
AISMessage05Parser,0,0
AISMessage02Parser,0,0
AISPositionReportBParser,0,0
AISMessage04Parser,0,0
ProviderEvent,0,0
PositionEvent,0,0
SatelliteInfoEvent,0,0
HeadingEvent,0,0
PositionProvider,0,0
HeadingProvider,0,0
AbstractProvider,0,0
SatelliteInfoProvider,0,0
SatelliteInfo,0,0
Date,0,0
Measurement,0,0
Direction,0,0
RouteType,0,0
Side,0,0
Datum,0,0
CompassPoint,0,0
GpsFixQuality,0,0
Units,0,0
SteeringMode,0,0
FaaMode,0,0
Position,0,0
Time,0,0
Waypoint,0,0
TurnMode,0,0
DataStatus,0,0
AcquisitionType,0,0
GpsFixStatus,0,0
TargetStatus,0,0
AbstractAISMessageListener,0,0
AbstractDataReader,0,0
ActivityMonitor,0,0
SentenceReader,0,0
UDPDataReader,0,0
DefaultDataReader,0,0
GenericTypeResolver,0,0
SentenceEvent,0,0
AbstractSentenceListener,0,0
VWTParser,5,-5
XDRParser,0,0
MWVParser,0,0
DPTParser,0,0
DBTParser,0,0
AISParser,0,0
MDAParser,0,0
VBWParser,0,0
SentenceParser,0,0
RPMParser,0,0
PositionParser,0,0
MTWParser,0,0
VDRParser,0,0
HDMParser,0,0
MTAParser,0,0
UnsupportedSentenceException,2,-2
HTCParser,2,-2
GBSParser,0,0
GSAParser,0,0
VHWParser,0,0
VDOParser,0,0
RSAParser,0,0
HTDParser,0,0
GSTParser,0,0
SentenceFactory,16,-16
ROTParser,0,0
DataNotAvailableException,0,0
MMBParser,0,0
WPLParser,0,0
APBParser,0,0
RMCParser,0,0
RMBParser,0,0
RTEParser,0,0
ParseException,0,0
DTMParser,0,0
VDMParser,0,0
MHUParser,0,0
VWRParser,5,-5
GLLParser,0,0
TXTParser,0,0
ZDAParser,0,0
VTGParser,0,0
STALKParser,0,0
GSVParser,0,0
XTEParser,0,0
HDTParser,0,0
VLWParser,0,0
HDGParser,0,0
GGAParser,0,0
BODParser,0,0
GNSParser,0,0
TTMParser,0,0
MWDParser,0,0
CURParser,5,-5
