File,statements,missing
utest/api/test_deco.py,0,0
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,-26,-34
utest/api/test_logging_api.py,0,0
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,-7,-2
utest/conf/test_settings.py,0,0
utest/htmldata/test_htmltemplate.py,0,0
utest/htmldata/test_jsonwriter.py,-17,-10
utest/libdoc/test_datatypes.py,-2,-1
utest/libdoc/test_libdoc.py,-18,-17
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,-11,-18
utest/model/test_control.py,1,-24
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,-6,-3
utest/model/test_message.py,-13,-16
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,-55,-69
utest/model/test_statistics.py,-4,-3
utest/model/test_tags.py,-24,-85
utest/model/test_tagstatistics.py,-52,-64
utest/model/test_testcase.py,-11,-8
utest/model/test_testsuite.py,-14,-17
utest/output/test_console.py,0,0
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,-20,-13
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,11,2
utest/parsing/test_model.py,-8,-4
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,13,15
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,-4,-10
utest/reporting/test_jsbuildingcontext.py,0,0
utest/reporting/test_jsexecutionresult.py,0,-14
utest/reporting/test_jsmodelbuilders.py,-22,-50
utest/reporting/test_jswriter.py,-9,-5
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,0,0
utest/reporting/test_stringcache.py,-21,-9
utest/result/test_configurer.py,-13,-28
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,0,0
utest/result/test_resultmodel.py,-364,-409
utest/result/test_resultserializer.py,0,0
utest/result/test_visitor.py,-7,20
utest/running/test_argumentspec.py,0,0
utest/running/test_builder.py,0,0
utest/running/test_importer.py,0,0
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,-8,-6
utest/running/test_randomizer.py,-13,-27
utest/running/test_resourcefile.py,0,0
utest/running/test_run_model.py,-22,-102
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-28,-28
utest/running/test_timeouts.py,-35,-63
utest/running/test_typeinfo.py,-31,-26
utest/running/test_typeinfoparser.py,-8,-25
utest/running/test_userkeyword.py,20,13
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,0,0
utest/utils/test_argumentparser.py,-19,-64
utest/utils/test_asserts.py,10,-4
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,0,0
utest/utils/test_connectioncache.py,15,-16
utest/utils/test_dotdict.py,-44,-61
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,0,0
utest/utils/test_escaping.py,-88,-94
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,72,49
utest/utils/test_frange.py,-75,-81
utest/utils/test_htmlwriter.py,0,0
utest/utils/test_importer_util.py,-7,-16
utest/utils/test_markuputils.py,-168,-282
utest/utils/test_match.py,100,78
utest/utils/test_misc.py,-20,-50
utest/utils/test_normalizing.py,0,0
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,-13,-3
utest/utils/test_robotpath.py,-13,-28
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,-83,-92
utest/utils/test_setter.py,0,0
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-51,-92
utest/utils/test_unic.py,-11,-45
utest/utils/test_xmlwriter.py,-5,0
utest/variables/test_isvar.py,-24,-9
utest/variables/test_search.py,-5,-11
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
