File,statements,missing
tests/client_test/aiotransmission_test/api_freespace_test.py,0,6
tests/client_test/aiotransmission_test/api_settings_test.py,0,51
tests/client_test/aiotransmission_test/api_status_test.py,0,27
tests/client_test/aiotransmission_test/api_torrent_test.py,0,41
tests/client_test/aiotransmission_test/rpc_test.py,0,31
tests/client_test/aiotransmission_test/torrent_test.py,0,0
tests/client_test/base_test.py,0,14
tests/client_test/client_utils_test.py,0,0
tests/client_test/constants_test.py,0,0
tests/client_test/filters_test/file_filter_test.py,0,0
tests/client_test/filters_test/filter_helpers.py,0,0
tests/client_test/filters_test/filter_specs_test.py,0,0
tests/client_test/filters_test/filters_base_test.py,0,0
tests/client_test/filters_test/peer_filter_test.py,0,0
tests/client_test/filters_test/setting_filter_test.py,0,0
tests/client_test/filters_test/torrent_filter_test.py,0,0
tests/client_test/filters_test/tracker_filter_test.py,0,0
tests/client_test/poll_test.py,0,14
tests/client_test/sorters_test/peer_sorter_test.py,0,0
tests/client_test/sorters_test/setting_sorter_test.py,0,0
tests/client_test/sorters_test/sorter_helpers.py,0,0
tests/client_test/sorters_test/sorters_base_test.py,0,0
tests/client_test/sorters_test/torrent_sorter_test.py,0,0
tests/client_test/sorters_test/tracker_sorter_test.py,0,0
tests/client_test/trequestpool_test.py,-180,-164
tests/client_test/ttypes_test.py,0,0
tests/commands_test/cmdbase_test.py,0,16
tests/commands_test/cmdmanager_test.py,0,53
tests/commands_test/commands_utils_test.py,0,0
tests/commands_test/config_cmds_test.py,-6,121
tests/commands_test/guess_ui_test.py,0,11
tests/commands_test/misc_cmds_test.py,0,8
tests/commands_test/resources_cmd.py,0,39
tests/commands_test/torrent_cmds_test.py,0,148
tests/commands_test/tui_cmds_test.py,0,66
tests/completion_test/candidates_test.py,0,165
tests/completion_test/classes_test.py,0,0
tests/completion_test/completion_utils_test.py,0,0
tests/settings_test/rcfile_test.py,0,0
tests/settings_test/settings_test.py,0,44
tests/tui_test/__init__.py,0,0
tests/tui_test/_handle_urwidpatches.py,0,0
tests/tui_test/cli_test.py,0,16
tests/tui_test/completer_test.py,0,40
tests/tui_test/group_test.py,-4,-21
tests/tui_test/keymap_test.py,0,0
tests/tui_test/resources_tui.py,0,0
tests/tui_test/scroll_test.py,0,0
tests/tui_test/tabs_test.py,0,0
tests/tui_test/theme_test.py,0,0
tests/tui_test/urwidpatches_test.py,0,0
tests/utils_test/cliparser_test.py,0,0
tests/utils_test/converter_test.py,0,0
tests/utils_test/string_test.py,0,0
tests/utils_test/usertypes_test.py,0,0
tests/utils_test/utils_test.py,0,0
