file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,716,-38526
SuboptimalAssert_consolidated_results,1081,-8998
ObscureInLineSetup_consolidated_results,629,-25484
RedundantAssertion_consolidated_results,173,7645
IgnoredTest_consolidated_results,84,-26311
SleepyTest_consolidated_results,247,10
AssertionRoulette_consolidated_results,1308,-55908
LackCohesion_consolidated_results,-356,-39879
EmptyTest_consolidated_results,0,0
ExceptionHandling_consolidated_results,2232,-44512
MagicNumberTest_consolidated_results,790,-56978
ConstructorInitialization_consolidated_results,0,45
UnknownTest_consolidated_results,139,-41180
RedundantPrint_consolidated_results,534,-7701
DuplicateAssertion_consolidated_results,2274,-36981
TestMaverick_consolidated_results,1540,-30100
ConditionalTestLogic_consolidated_results,1841,-53599
