File,statements,missing
utest/api/test_deco.py,0,0
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,-32,-62
utest/api/test_logging_api.py,0,0
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,82,57
utest/htmldata/test_htmltemplate.py,-9,-6
utest/htmldata/test_jsonwriter.py,29,13
utest/libdoc/test_datatypes.py,1,1
utest/libdoc/test_libdoc.py,4,4
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,0,0
utest/model/test_control.py,-7,-33
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,62,50
utest/model/test_message.py,0,0
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,-13,-33
utest/model/test_statistics.py,12,-1
utest/model/test_tags.py,137,106
utest/model/test_tagstatistics.py,0,0
utest/model/test_testcase.py,-15,-4
utest/model/test_testsuite.py,115,94
utest/output/test_console.py,0,0
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,110,89
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,29,22
utest/parsing/test_model.py,122,102
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,85,61
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,-3,-3
utest/reporting/test_jsbuildingcontext.py,0,1
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,47,42
utest/reporting/test_jswriter.py,-15,-11
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,11,8
utest/reporting/test_stringcache.py,-5,-18
utest/result/test_configurer.py,0,0
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,6,7
utest/result/test_resultmodel.py,140,113
utest/result/test_resultserializer.py,0,0
utest/result/test_visitor.py,75,36
utest/running/test_argumentspec.py,-3,-2
utest/running/test_builder.py,58,50
utest/running/test_importer.py,0,0
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,0,0
utest/running/test_run_model.py,72,53
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-6,-6
utest/running/test_timeouts.py,0,0
utest/running/test_typeinfo.py,107,85
utest/running/test_typeinfoparser.py,107,91
utest/running/test_userkeyword.py,0,0
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,0,0
utest/utils/test_argumentparser.py,77,16
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,0,0
utest/utils/test_connectioncache.py,181,149
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,-10,-6
utest/utils/test_escaping.py,17,13
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,7,-16
utest/utils/test_frange.py,-38,-33
utest/utils/test_htmlwriter.py,0,0
utest/utils/test_importer_util.py,-7,-33
utest/utils/test_markuputils.py,40,19
utest/utils/test_match.py,83,67
utest/utils/test_misc.py,11,6
utest/utils/test_normalizing.py,0,0
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,-3,-2
utest/utils/test_robotpath.py,3,-14
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,-50,-87
utest/utils/test_setter.py,0,0
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-4,-54
utest/utils/test_unic.py,9,-26
utest/utils/test_xmlwriter.py,0,0
utest/variables/test_isvar.py,57,53
utest/variables/test_search.py,27,23
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
