File,statements,missing
utest/api/test_deco.py,-10,-16
utest/api/test_exposed_api.py,-12,-30
utest/api/test_languages.py,-14,-43
utest/api/test_logging_api.py,-26,-12
utest/api/test_run_and_rebot.py,-9,-9
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,-16,-37
utest/htmldata/test_htmltemplate.py,-7,-11
utest/htmldata/test_jsonwriter.py,-9,-23
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,0,0
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,-15,-27
utest/model/test_control.py,-94,-119
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,-18,-2
utest/model/test_message.py,-13,-26
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,-21,-21
utest/model/test_statistics.py,-39,-18
utest/model/test_tags.py,-14,-75
utest/model/test_tagstatistics.py,-6,-18
utest/model/test_testcase.py,-23,-6
utest/model/test_testsuite.py,-17,-38
utest/output/test_console.py,0,0
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,138,117
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,0,0
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,-4,-3
utest/reporting/test_jsbuildingcontext.py,-9,-17
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,0,0
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,0,0
utest/reporting/test_stringcache.py,-18,-10
utest/result/test_configurer.py,-14,-39
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,-12,-48
utest/result/test_resultmodel.py,-15,-74
utest/result/test_resultserializer.py,0,-11
utest/result/test_visitor.py,-11,-49
utest/running/test_argumentspec.py,-43,-73
utest/running/test_builder.py,-12,-36
utest/running/test_importer.py,-9,-18
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,-17,-29
utest/running/test_run_model.py,0,0
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-17,-17
utest/running/test_timeouts.py,42,28
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,-20,-45
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,-10,-1
utest/utils/test_argumentparser.py,-49,-109
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,-20,-15
utest/utils/test_connectioncache.py,-47,-26
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,0,0
utest/utils/test_escaping.py,-58,-53
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,-24,-44
utest/utils/test_importer_util.py,0,0
utest/utils/test_markuputils.py,-108,-73
utest/utils/test_match.py,-14,-46
utest/utils/test_misc.py,-33,-63
utest/utils/test_normalizing.py,-25,-9
utest/utils/test_old_py23_compatibility_layer.py,-4,3
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,-26,-32
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,-13,-36
utest/utils/test_setter.py,-5,-8
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-67,-129
utest/utils/test_unic.py,-33,-67
utest/utils/test_xmlwriter.py,-3,-22
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,0,0
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
