File,statements,missing
utest/api/test_deco.py,-1,-1
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,0,0
utest/api/test_logging_api.py,-23,-14
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,37,32
utest/htmldata/test_htmltemplate.py,0,0
utest/htmldata/test_jsonwriter.py,-2,0
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,-66,-52
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,0,0
utest/model/test_control.py,0,0
utest/model/test_filter.py,-44,-40
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,0,0
utest/model/test_message.py,0,0
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,0,0
utest/model/test_statistics.py,-41,-26
utest/model/test_tags.py,107,83
utest/model/test_tagstatistics.py,-27,-26
utest/model/test_testcase.py,0,0
utest/model/test_testsuite.py,0,0
utest/output/test_console.py,-2,-26
utest/output/test_filelogger.py,-9,-3
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,-7,-6
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,-34,-15
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,-9,-3
utest/parsing/test_tokenizer.py,-24,-23
utest/parsing/test_tokens.py,0,0
utest/reporting/test_jsbuildingcontext.py,-38,-56
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,1,3
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,-3,-2
utest/reporting/test_stringcache.py,-7,-16
utest/result/test_configurer.py,-1,1
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,38,10
utest/result/test_resultmodel.py,-33,-29
utest/result/test_resultserializer.py,0,-11
utest/result/test_visitor.py,36,37
utest/running/test_argumentspec.py,11,3
utest/running/test_builder.py,0,0
utest/running/test_importer.py,0,0
utest/running/test_imports.py,-16,-8
utest/running/test_librarykeyword.py,-4,-4
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,-13,-10
utest/running/test_run_model.py,-6,-87
utest/running/test_runkwregister.py,-10,-8
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-38,-38
utest/running/test_timeouts.py,-26,-20
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,2,2
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,-24,-22
utest/utils/test_argumentparser.py,0,0
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,-14,-10
utest/utils/test_connectioncache.py,156,131
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,-2,2
utest/utils/test_escaping.py,-7,-5
utest/utils/test_etreesource.py,-13,-10
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,-1,-22
utest/utils/test_importer_util.py,-15,-28
utest/utils/test_markuputils.py,0,0
utest/utils/test_match.py,1,1
utest/utils/test_misc.py,-4,-2
utest/utils/test_normalizing.py,-3,-48
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,0,0
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,0,0
utest/utils/test_setter.py,0,0
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-28,-26
utest/utils/test_unic.py,8,8
utest/utils/test_xmlwriter.py,54,46
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,3,3
utest/variables/test_variableassigner.py,-4,-15
utest/variables/test_variables.py,0,0
