File,statements,missing
utest/api/test_deco.py,0,0
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,0,0
utest/api/test_logging_api.py,6,5
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,0,0
utest/htmldata/test_htmltemplate.py,0,0
utest/htmldata/test_jsonwriter.py,0,0
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,0,0
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,0,0
utest/model/test_control.py,0,0
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,0,0
utest/model/test_message.py,0,0
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,0,0
utest/model/test_statistics.py,-5,-3
utest/model/test_tags.py,0,0
utest/model/test_tagstatistics.py,0,0
utest/model/test_testcase.py,-1,3
utest/model/test_testsuite.py,-3,-2
utest/output/test_console.py,-34,-15
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,-2,-22
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,-9,2
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,0,0
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,0,0
utest/reporting/test_jsbuildingcontext.py,0,0
utest/reporting/test_jsexecutionresult.py,0,-14
utest/reporting/test_jsmodelbuilders.py,-6,-23
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,0,0
utest/reporting/test_stringcache.py,-19,-9
utest/result/test_configurer.py,-9,-32
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,-9,-61
utest/result/test_resultmodel.py,-9,-12
utest/result/test_resultserializer.py,0,-11
utest/result/test_visitor.py,4,-34
utest/running/test_argumentspec.py,0,0
utest/running/test_builder.py,0,0
utest/running/test_importer.py,-23,-12
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,-4,-18
utest/running/test_resourcefile.py,-5,-25
utest/running/test_run_model.py,-4,0
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,1,3
utest/running/test_testlibrary.py,0,0
utest/running/test_timeouts.py,0,0
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,-4,-29
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,-15,-33
utest/utils/test_argumentparser.py,-9,-69
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,0,0
utest/utils/test_connectioncache.py,-4,-3
utest/utils/test_dotdict.py,-3,-1
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,-7,-14
utest/utils/test_error.py,0,0
utest/utils/test_escaping.py,0,0
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,0,-20
utest/utils/test_importer_util.py,0,0
utest/utils/test_markuputils.py,0,0
utest/utils/test_match.py,0,0
utest/utils/test_misc.py,-9,-6
utest/utils/test_normalizing.py,0,0
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,0,0
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,0,0
utest/utils/test_setter.py,-4,-2
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-1,0
utest/utils/test_unic.py,0,0
utest/utils/test_xmlwriter.py,-6,-1
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,0,0
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
