File,statements,missing
utest/api/test_deco.py,-5,-7
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,0,0
utest/api/test_logging_api.py,2,1
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,111,87
utest/htmldata/test_htmltemplate.py,0,0
utest/htmldata/test_jsonwriter.py,29,13
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,-46,-80
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,0,0
utest/model/test_control.py,0,0
utest/model/test_filter.py,-67,-109
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,0,0
utest/model/test_message.py,0,0
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,0,0
utest/model/test_statistics.py,0,-19
utest/model/test_tags.py,129,97
utest/model/test_tagstatistics.py,-3,-21
utest/model/test_testcase.py,0,0
utest/model/test_testsuite.py,0,0
utest/output/test_console.py,-1,-26
utest/output/test_filelogger.py,1,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,71,61
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,9,-109
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,-41,-53
utest/parsing/test_tokenizer.py,-19,-28
utest/parsing/test_tokens.py,0,0
utest/reporting/test_jsbuildingcontext.py,-15,-16
utest/reporting/test_jsexecutionresult.py,0,-14
utest/reporting/test_jsmodelbuilders.py,-6,-18
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,-5,-5
utest/reporting/test_stringcache.py,-3,-16
utest/result/test_configurer.py,40,22
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,40,27
utest/result/test_resultmodel.py,116,98
utest/result/test_resultserializer.py,0,0
utest/result/test_visitor.py,65,26
utest/running/test_argumentspec.py,67,46
utest/running/test_builder.py,0,0
utest/running/test_importer.py,0,0
utest/running/test_imports.py,-5,-13
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,-7,-28
utest/running/test_run_model.py,2,2
utest/running/test_runkwregister.py,-9,-17
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-34,-34
utest/running/test_timeouts.py,-7,-8
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,-53,-57
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,26,7
utest/utils/test_argumentparser.py,0,0
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,-7,-8
utest/utils/test_connectioncache.py,167,137
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,-11,-16
utest/utils/test_escaping.py,23,16
utest/utils/test_etreesource.py,-3,-15
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,73,54
utest/utils/test_importer_util.py,-12,-13
utest/utils/test_markuputils.py,0,0
utest/utils/test_match.py,89,71
utest/utils/test_misc.py,0,-1
utest/utils/test_normalizing.py,-13,-10
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,0,0
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,0,0
utest/utils/test_setter.py,0,0
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-2,-11
utest/utils/test_unic.py,13,12
utest/utils/test_xmlwriter.py,82,66
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,1,-6
utest/variables/test_variableassigner.py,32,20
utest/variables/test_variables.py,0,0
