CLASS,LINE_COVERED,LINE_MISSED
AbstractMultiSourceExtracter,32,-32
StringSourceExtracter,15,-14
StringMergingMultiSourceExtracter,10,-10
StringMergingMultiSourceExtracter.Builder,7,-7
NonMergingMultiSourceExtracter.Builder,7,-7
NonMergingMultiSourceExtracter,4,-4
AbstractMultiSourceExtracter.ConstituentExtracter,4,-4
PriorityQueue,55,-55
ConstantTermWeigher,4,-4
NoSourceTermSourceFinder,0,0
ConstantHitWeigher,5,-5
SourceExtractingHitWeigher,5,-5
CachingTermWeigher,11,-11
MultiplyingTermWeigher,8,-8
CachingTermWeigher.MapCache,10,-10
ExactMatchTermWeigher,8,-8
MergingHitEnum.HitEnumPriorityQueue.new Iterator() {...},0,0
PositionBoostingHitEnumWrapper,13,-13
MergingHitEnum,14,-14
PositionBoostingHitEnumWrapper.PositionBoost,4,-4
ConcatHitEnum,23,-23
ReplayingHitEnum.Hit,8,-8
ReplayingHitEnum.HitEnumAndLength,6,-6
OverlapMergingHitEnumWrapper,33,-33
BreakIteratorHitEnum.RepairedHitEnum,11,-11
RegexHitEnum,17,-17
WeightFilteredHitEnumWrapper,4,-4
ReplayingHitEnum,34,-34
PhraseHitEnumWrapper.PhraseCandidate,25,-25
PhraseHitEnumWrapper,69,-69
MergingHitEnum.HitEnumPriorityQueue,8,-8
AbstractFilteredHitEnumWrapper,6,-6
AbstractHitEnum,1,-1
EmptyHitEnum,2,-2
AbstractHitEnumWrapper,11,-11
BreakIteratorHitEnum,29,-29
HitEnum.LessThans,3,-3
Snippet,9,-9
SnippetFormatter.Default,0,0
HitEnum.LessThans.new HitEnum.LessThans() {...},2,-2
HitEnum.LessThans.new HitEnum.LessThans() {...},1,1
SimpleSegment,6,-6
Snippet.Hit,12,-12
GraphvizHitEnumGenerator.Link,0,0
GraphvizHit,0,0
GraphvizSnippetFormatter,0,0
GraphvizHitEnum,0,0
GraphvizHitEnumGenerator,0,0
SumSnippetWeigher,6,-6
MultiSegmenter,46,-46
WholeSourceSegmenter,5,-5
BreakIteratorSegmenter,18,-18
MultiSegmenter.Builder,7,-7
BasicScoreBasedSnippetChooser.ProtoSnippetComparators.new BasicScoreBasedSnippetChooser.ProtoSnippetComparators() {...},3,-3
BasicScoreBasedSnippetChooser.ProtoSnippetComparators.new BasicScoreBasedSnippetChooser.ProtoSnippetComparators() {...},2,-4
CharScanningSegmenter,11,-11
CharScanningSegmenter.CharScanningSegmenterMemo,55,-55
MultiSegmenter.MulitSegmenterMemo,9,-9
BasicScoreBasedSnippetChooser.State,1,-1
BasicSourceOrderSnippetChooser.State,1,-1
BasicScoreBasedSnippetChooser.ProtoSnippetQueue,11,-11
ExponentialSnippetWeigher,24,-24
AbstractBasicSnippetChooser,27,-27
ImmediateSegmenterMemo,4,-4
BasicSourceOrderSnippetChooser,12,-12
ExponentialSnippetWeigher.SourceComparator,1,-1
BasicScoreBasedSnippetChooser.ProtoSnippet,1,-1
MultiSegmenter.ConstituentSegmenter,4,-4
BasicScoreBasedSnippetChooser,47,-47
BasicScoreBasedSnippetChooser.ProtoSnippetComparators,3,-3
BasicQueryWeigher.FlattenerCallback,0,61
BasicQueryWeigher.HashMapTermInfos,0,5
BasicQueryWeigher.PhraseInfo,0,13
BasicQueryWeigher.SourceInfo,0,1
DefaultSimilarityTermWeigher,0,9
BasicQueryWeigher,0,56
BasicQueryWeigher.PhraseKey,0,18
BasicQueryWeigher.AutomatonSourceInfo,0,6
PostingsHitEnum,0,62
AutomatonHitEnum.Factory,0,15
AutomatonHitEnum.Forward,0,14
TokenStreamHitEnum,0,30
AutomatonHitEnum.TwoPass,0,16
AutomatonHitEnum,0,37
QueryFlattener.FuzzyQueryInfo,0,18
WrappedExceptionFromLucene,0,2
QueryFlattener,0,211
AcceptReturningReverseRunAutomaton,0,22
OffsetReturningRunAutomaton,0,12
ExperimentalHighlighter.QueryCacheKey,0,18
ExperimentalHighlighter,0,14
ExperimentalHighlighter.CacheEntry,0,3
ElasticsearchQueryFlattener,0,11
BytesRefHashTermInfos,0,18
SingleValuedFetchedFieldIndexPicker,0,2
SentenceIteratorSegmenterFactory,0,20
ExperimentalHighlighter.HighlightExecutionContext,0,281
WholeSourceSegmenterFactory,0,3
BytesRefTermWeigherCache,0,16
MultiValuedFetchedFieldIndexPicker,0,4
OffsetAugmenterSnippetFormatter,0,6
FieldWrapper,0,132
OffsetSnippetFormatter,0,12
CharScanningSegmenterFactory,0,7
DelayedSegmenter,0,14
ExperimentalHighlighterPlugin,0,2
