File,statements,missing
utest/api/test_deco.py,0,0
utest/api/test_exposed_api.py,0,0
utest/api/test_languages.py,0,0
utest/api/test_logging_api.py,-6,-4
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,0,0
utest/htmldata/test_htmltemplate.py,0,0
utest/htmldata/test_jsonwriter.py,0,0
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,0,0
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,0,0
utest/model/test_control.py,0,0
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,0,0
utest/model/test_message.py,0,0
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,0,0
utest/model/test_statistics.py,-5,-3
utest/model/test_tags.py,0,0
utest/model/test_tagstatistics.py,0,0
utest/model/test_testcase.py,7,4
utest/model/test_testsuite.py,83,79
utest/output/test_console.py,-9,-8
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,69,60
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,-17,-10
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,0,0
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,0,0
utest/reporting/test_jsbuildingcontext.py,0,0
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,-11,-8
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,0,0
utest/reporting/test_stringcache.py,-10,-19
utest/result/test_configurer.py,-15,-13
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,37,33
utest/result/test_resultmodel.py,-19,-9
utest/result/test_resultserializer.py,0,-11
utest/result/test_visitor.py,48,49
utest/running/test_argumentspec.py,0,0
utest/running/test_builder.py,0,0
utest/running/test_importer.py,-7,-17
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,-1,-3
utest/running/test_resourcefile.py,-9,-7
utest/running/test_run_model.py,-8,-61
utest/running/test_runkwregister.py,-3,-9
utest/running/test_running.py,-1,-1
utest/running/test_signalhandler.py,-15,-10
utest/running/test_testlibrary.py,1,1
utest/running/test_timeouts.py,0,0
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,-5,-5
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,-7,-6
utest/utils/test_argumentparser.py,45,9
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,0,0
utest/utils/test_connectioncache.py,108,88
utest/utils/test_dotdict.py,-8,-26
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,-6,-4
utest/utils/test_error.py,0,0
utest/utils/test_escaping.py,0,0
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,-5,-26
utest/utils/test_importer_util.py,0,0
utest/utils/test_markuputils.py,0,0
utest/utils/test_match.py,0,0
utest/utils/test_misc.py,-2,2
utest/utils/test_normalizing.py,0,0
utest/utils/test_old_py23_compatibility_layer.py,0,0
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,0,0
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,0,0
utest/utils/test_setter.py,-1,-5
utest/utils/test_sortable.py,-7,-3
utest/utils/test_text.py,-7,-7
utest/utils/test_unic.py,0,0
utest/utils/test_xmlwriter.py,0,0
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,0,0
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
